Epoch 1, Loss 0.2525,time:1.08s
Epoch 2, Loss 0.2376,time:0.01s
Epoch 3, Loss 0.2257,time:0.01s
Epoch 4, Loss 0.2152,time:0.01s
Epoch 5, Loss 0.2067,time:0.01s
Epoch 6, Loss 0.2023,time:0.01s
Epoch 7, Loss 0.2005,time:0.01s
Epoch 8, Loss 0.1963,time:0.01s
Epoch 9, Loss 0.1920,time:0.01s
Epoch 10, Loss 0.1886,time:0.01s
 val Loss 0.1849,time:0.00s
