Epoch 1, Loss*1000 622.70754576,time:1.08s
Epoch 2, Loss*1000 511.03764772,time:0.01s
Epoch 3, Loss*1000 374.09973145,time:0.01s
Epoch 4, Loss*1000 336.68217063,time:0.01s
Epoch 5, Loss*1000 306.65549636,time:0.01s
Epoch 6, Loss*1000 302.26609111,time:0.01s
Epoch 7, Loss*1000 294.22649741,time:0.01s
Epoch 8, Loss*1000 271.70154452,time:0.01s
Epoch 9, Loss*1000 274.80947971,time:0.01s
Epoch 10, Loss*1000 265.12461901,time:0.01s
 val Loss*1000 254.88975644,time:0.00s
