Epoch 1, Loss 67369.3359,time:1.18s
Epoch 2, Loss 3429.0000,time:0.01s
Epoch 3, Loss 2.6667,time:0.01s
Epoch 4, Loss 86175.1094,time:0.01s
Epoch 5, Loss 382.6667,time:0.01s
Epoch 6, Loss 73742.6641,time:0.01s
Epoch 7, Loss 170202.3438,time:0.01s
Epoch 8, Loss 67369.3359,time:0.01s
Epoch 9, Loss 1564.8889,time:0.01s
Epoch 10, Loss 71586.2188,time:0.01s
 val Loss 16016.5557,time:0.01s
